,year_day,fire_count,date
212,2022213,38,2022-08-01
213,2022214,23,2022-08-02
214,2022215,28,2022-08-03
215,2022216,9,2022-08-04
216,2022217,3,2022-08-05
217,2022218,0,2022-08-06
218,2022219,0,2022-08-07
219,2022220,50,2022-08-08
220,2022221,10,2022-08-09
221,2022222,12,2022-08-10
222,2022223,1,2022-08-11
223,2022224,4,2022-08-12
224,2022225,1,2022-08-13
225,2022226,3,2022-08-14
226,2022227,3,2022-08-15
227,2022228,272,2022-08-16
228,2022229,32,2022-08-17
229,2022230,109,2022-08-18
230,2022231,14,2022-08-19
231,2022232,17,2022-08-20
232,2022233,6,2022-08-21
233,2022234,79,2022-08-22
234,2022235,14,2022-08-23
235,2022236,61,2022-08-24
236,2022237,1,2022-08-25
237,2022238,1,2022-08-26
238,2022239,19,2022-08-27
239,2022240,5,2022-08-28
240,2022241,3,2022-08-29
241,2022242,3,2022-08-30
242,2022243,38,2022-08-31
243,2022244,55,2022-09-01
244,2022245,39,2022-09-02
245,2022246,195,2022-09-03
246,2022247,365,2022-09-04
247,2022248,57,2022-09-05
248,2022249,47,2022-09-06
249,2022250,27,2022-09-07
250,2022251,20,2022-09-08
251,2022252,33,2022-09-09
252,2022253,6,2022-09-10
253,2022254,0,2022-09-11
254,2022255,1,2022-09-12
255,2022256,1,2022-09-13
256,2022257,0,2022-09-14
257,2022258,0,2022-09-15
258,2022259,1,2022-09-16
259,2022260,0,2022-09-17
260,2022261,0,2022-09-18
261,2022262,0,2022-09-19
262,2022263,0,2022-09-20
263,2022264,13,2022-09-21
264,2022265,5,2022-09-22
265,2022266,40,2022-09-23
266,2022267,40,2022-09-24
267,2022268,0,2022-09-25
268,2022269,0,2022-09-26
269,2022270,0,2022-09-27
270,2022271,0,2022-09-28
271,2022272,0,2022-09-29
272,2022273,0,2022-09-30
273,2022274,0,2022-10-01
274,2022275,0,2022-10-02
275,2022276,5,2022-10-03
276,2022277,16,2022-10-04
277,2022278,13,2022-10-05
278,2022279,25,2022-10-06
279,2022280,32,2022-10-07
280,2022281,18,2022-10-08
281,2022282,5,2022-10-09
282,2022283,0,2022-10-10
283,2022284,12,2022-10-11
284,2022285,8,2022-10-12
285,2022286,0,2022-10-13
286,2022287,5,2022-10-14
287,2022288,3,2022-10-15
288,2022289,24,2022-10-16
289,2022290,39,2022-10-17
290,2022291,0,2022-10-18
291,2022292,0,2022-10-19
292,2022293,2,2022-10-20
293,2022294,39,2022-10-21
294,2022295,142,2022-10-22
295,2022296,55,2022-10-23
296,2022297,44,2022-10-24
297,2022298,59,2022-10-25
298,2022299,100,2022-10-26
299,2022300,79,2022-10-27
300,2022301,195,2022-10-28
301,2022302,86,2022-10-29
302,2022303,148,2022-10-30
303,2022304,113,2022-10-31
304,2022305,84,2022-11-01
305,2022306,87,2022-11-02
306,2022307,75,2022-11-03
307,2022308,109,2022-11-04
308,2022309,82,2022-11-05
309,2022310,90,2022-11-06
310,2022311,60,2022-11-07
311,2022312,4,2022-11-08
312,2022313,0,2022-11-09
313,2022314,0,2022-11-10
314,2022315,10,2022-11-11
315,2022316,26,2022-11-12
316,2022317,89,2022-11-13
317,2022318,74,2022-11-14
318,2022319,92,2022-11-15
319,2022320,79,2022-11-16
320,2022321,136,2022-11-17
321,2022322,73,2022-11-18
322,2022323,70,2022-11-19
323,2022324,2,2022-11-20
324,2022325,0,2022-11-21
325,2022326,0,2022-11-22
326,2022327,45,2022-11-23
327,2022328,89,2022-11-24
328,2022329,63,2022-11-25
329,2022330,120,2022-11-26
330,2022331,103,2022-11-27
331,2022332,22,2022-11-28
332,2022333,271,2022-11-29
333,2022334,137,2022-11-30
334,2022335,275,2022-12-01
335,2022336,177,2022-12-02
336,2022337,181,2022-12-03
337,2022338,129,2022-12-04
338,2022339,93,2022-12-05
339,2022340,107,2022-12-06
340,2022341,63,2022-12-07
341,2022342,171,2022-12-08
342,2022343,184,2022-12-09
343,2022344,17,2022-12-10
344,2022345,60,2022-12-11
345,2022346,135,2022-12-12
346,2022347,106,2022-12-13
347,2022348,208,2022-12-14
348,2022349,25,2022-12-15
349,2022350,5,2022-12-16
350,2022351,14,2022-12-17
351,2022352,124,2022-12-18
352,2022353,307,2022-12-19
353,2022354,13,2022-12-20
354,2022355,12,2022-12-21
355,2022356,34,2022-12-22
356,2022357,57,2022-12-23
357,2022358,24,2022-12-24
358,2022359,0,2022-12-25
359,2022360,0,2022-12-26
360,2022361,119,2022-12-27
361,2022362,120,2022-12-28
362,2022363,172,2022-12-29
363,2022364,106,2022-12-30
364,2022365,270,2022-12-31
