,year_day,date,fire_count
0,2022276,2022-10-03,4
1,2022277,2022-10-04,16
2,2022278,2022-10-05,10
3,2022279,2022-10-06,22
4,2022280,2022-10-07,29
5,2022281,2022-10-08,13
6,2022282,2022-10-09,5
7,2022283,2022-10-10,0
8,2022284,2022-10-11,3
9,2022285,2022-10-12,5
10,2022286,2022-10-13,0
11,2022287,2022-10-14,0
12,2022288,2022-10-15,0
13,2022289,2022-10-16,5
14,2022290,2022-10-17,18
15,2022291,2022-10-18,0
16,2022292,2022-10-19,0
17,2022293,2022-10-20,0
18,2022294,2022-10-21,8
19,2022295,2022-10-22,33
20,2022296,2022-10-23,34
21,2022297,2022-10-24,27
22,2022298,2022-10-25,35
23,2022299,2022-10-26,40
24,2022300,2022-10-27,59
25,2022301,2022-10-28,64
26,2022302,2022-10-29,48
27,2022303,2022-10-30,103
28,2022304,2022-10-31,90
29,2022305,2022-11-01,62
30,2022306,2022-11-02,60
31,2022307,2022-11-03,59
32,2022308,2022-11-04,87
33,2022309,2022-11-05,69
34,2022310,2022-11-06,74
35,2022311,2022-11-07,46
36,2022312,2022-11-08,2
37,2022313,2022-11-09,0
38,2022314,2022-11-10,0
39,2022315,2022-11-11,8
40,2022316,2022-11-12,24
41,2022317,2022-11-13,82
42,2022318,2022-11-14,61
43,2022319,2022-11-15,72
44,2022320,2022-11-16,64
45,2022321,2022-11-17,14
46,2022322,2022-11-18,64
47,2022323,2022-11-19,58
48,2022324,2022-11-20,2
49,2022325,2022-11-21,0
50,2022326,2022-11-22,0
51,2022327,2022-11-23,38
52,2022328,2022-11-24,82
53,2022329,2022-11-25,56
54,2022330,2022-11-26,76
55,2022331,2022-11-27,67
56,2022332,2022-11-28,18
57,2022333,2022-11-29,138
58,2022334,2022-11-30,115
59,2022335,2022-12-01,190
60,2022336,2022-12-02,120
61,2022337,2022-12-03,119
62,2022338,2022-12-04,97
63,2022339,2022-12-05,84
64,2022340,2022-12-06,94
65,2022341,2022-12-07,39
66,2022342,2022-12-08,136
67,2022343,2022-12-09,136
68,2022344,2022-12-10,12
69,2022345,2022-12-11,37
70,2022346,2022-12-12,91
71,2022347,2022-12-13,74
72,2022348,2022-12-14,147
73,2022349,2022-12-15,20
74,2022350,2022-12-16,5
75,2022351,2022-12-17,12
76,2022352,2022-12-18,71
77,2022353,2022-12-19,80
78,2022354,2022-12-20,9
79,2022355,2022-12-21,10
80,2022356,2022-12-22,28
81,2022357,2022-12-23,46
82,2022358,2022-12-24,15
83,2022359,2022-12-25,0
84,2022360,2022-12-26,0
85,2022361,2022-12-27,68
86,2022362,2022-12-28,47
87,2022363,2022-12-29,77
88,2022364,2022-12-30,84
89,2022365,2022-12-31,193
90,2023001,2023-01-01,0
91,2023002,2023-01-02,116
92,2023003,2023-01-03,68
93,2023004,2023-01-04,59
94,2023005,2023-01-05,56
95,2023006,2023-01-06,85
96,2023007,2023-01-07,140
97,2023008,2023-01-08,111
98,2023009,2023-01-09,108
99,2023010,2023-01-10,82
100,2023011,2023-01-11,109
101,2023012,2023-01-12,132
102,2023013,2023-01-13,19
103,2023014,2023-01-14,48
104,2023015,2023-01-15,130
105,2023016,2023-01-16,70
106,2023017,2023-01-17,149
107,2023018,2023-01-18,80
108,2023019,2023-01-19,130
109,2023020,2023-01-20,16
110,2023021,2023-01-21,21
111,2023022,2023-01-22,69
112,2023023,2023-01-23,2
113,2023024,2023-01-24,60
114,2023025,2023-01-25,144
115,2023026,2023-01-26,17
116,2023027,2023-01-27,23
117,2023028,2023-01-28,24
118,2023029,2023-01-29,145
119,2023030,2023-01-30,109
120,2023031,2023-01-31,89
121,2023032,2023-02-01,67
122,2023033,2023-02-02,43
