,year_day,date,fire_count
123,2023034,2023-02-03,126
124,2023035,2023-02-04,32
125,2023036,2023-02-05,0
126,2023037,2023-02-06,83
127,2023038,2023-02-07,147
128,2023039,2023-02-08,58
129,2023040,2023-02-09,120
130,2023041,2023-02-10,86
131,2023042,2023-02-11,170
132,2023043,2023-02-12,18
133,2023044,2023-02-13,129
134,2023045,2023-02-14,110
135,2023046,2023-02-15,150
136,2023047,2023-02-16,70
137,2023048,2023-02-17,25
138,2023049,2023-02-18,23
139,2023050,2023-02-19,64
140,2023051,2023-02-20,0
141,2023052,2023-02-21,0
142,2023053,2023-02-22,206
143,2023054,2023-02-23,105
144,2023055,2023-02-24,78
145,2023056,2023-02-25,173
146,2023057,2023-02-26,1
147,2023058,2023-02-27,132
148,2023059,2023-02-28,93
149,2023060,2023-03-01,78
150,2023061,2023-03-02,121
151,2023062,2023-03-03,174
152,2023063,2023-03-04,184
153,2023064,2023-03-05,73
154,2023065,2023-03-06,91
155,2023066,2023-03-07,87
156,2023067,2023-03-08,87
157,2023068,2023-03-09,104
158,2023069,2023-03-10,90
159,2023070,2023-03-11,136
160,2023071,2023-03-12,161
161,2023072,2023-03-13,111
162,2023073,2023-03-14,39
163,2023074,2023-03-15,4
164,2023075,2023-03-16,65
165,2023076,2023-03-17,132
166,2023077,2023-03-18,117
167,2023078,2023-03-19,26
168,2023079,2023-03-20,57
169,2023080,2023-03-21,112
170,2023081,2023-03-22,137
171,2023082,2023-03-23,157
172,2023083,2023-03-24,158
173,2023084,2023-03-25,169
174,2023085,2023-03-26,99
175,2023086,2023-03-27,149
176,2023087,2023-03-28,52
177,2023088,2023-03-29,59
178,2023089,2023-03-30,70
179,2023090,2023-03-31,295
180,2023091,2023-04-01,87
181,2023092,2023-04-02,74
182,2023093,2023-04-03,74
183,2023094,2023-04-04,85
184,2023095,2023-04-05,110
185,2023096,2023-04-06,166
186,2023097,2023-04-07,108
187,2023098,2023-04-08,235
188,2023099,2023-04-09,13
189,2023100,2023-04-10,7
190,2023101,2023-04-11,6
191,2023102,2023-04-12,0
192,2023103,2023-04-13,6
193,2023104,2023-04-14,40
194,2023105,2023-04-15,97
195,2023106,2023-04-16,17
196,2023107,2023-04-17,0
197,2023108,2023-04-18,1
198,2023109,2023-04-19,9
199,2023110,2023-04-20,87
200,2023111,2023-04-21,68
201,2023112,2023-04-22,41
202,2023113,2023-04-23,39
