,FIRST_NAME,LAST_NAME,SPORT,BIRTHPLACE,BIRTHPLACE_STATE,HOMETOWN,HOMETOWN_STATE,CURRENT_RESIDENCE,CURRENT_RESIDENCE_STATE,SCHOOL,FULL_BIRTHPLACE,FULL_HOMETOWN,FULL_RESIDENCE
108,Greg,Duncan,Diving,Roanoke,Virginia,Oakton,Virginia,West Lafayette ,Indiana,Purdue Universtiy,"Roanoke, Virginia","Oakton, Virginia","West Lafayette , Indiana"
109,Tyler,Downs,Diving,Saint Louis,Missouri,Ballwin,Missouri,Ballwin,Missouri,Laurel Springs Online School (2021),"Saint Louis, Missouri","Ballwin, Missouri","Ballwin, Missouri"
110,Boyd,Martin,Equestrian (Eventing),Sydney,Australia,Cochranville,Pennslyvania,Cochranville,Pennslyvania,Nimbin University (Australia) ,"Sydney, Australia","Cochranville, Pennslyvania ","Cochranville, Pennslyvania "
111,Will ,Coleman,Equestrian (Eventing),Locust Valley ,New York,Gordonsville,Virginia,Ocala ,Florida,University of Virginia,"Locust Valley , New York","Gordonsville, Virginia ","Ocala , Florida "
113,Adrienne,Lyle ,Equestrian (Dressage) ,Coupeville ,Washington,Coupeville ,Washington,Wellmington ,North Carolina,,"Coupeville , Washington ","Coupeville , Washington ","Wellmington , North Carolina "
114,Marcus ,Orlob,Equestrian (Dressage) ,Dusseldorf ,Germany,Dusseldorf ,Germany,Loxahatchee,Florida,German Riding School ,"Dusseldorf , Germany ","Dusseldorf , Germany ","Loxahatchee, Florida "
115,Steffen ,Peters ,Equestrian (Dressage) ,Wesel ,Germany,San Diego ,California,Del Mar ,California,,"Wesel , Germany ","San Diego , California ","Del Mar , California "
116,Lee,Kiefer,Fencing,Cleveland,Ohio,Lexington,Kentucky,Lexington,Kentucky,University of Notre Dame | University of Kentucky,"Cleveland, Ohio","Lexington, Kentucky","Lexington, Kentucky"
117,Anne,Cebula,Fencing,Brooklyn,New York,Brooklyn,New York,New York,New York,Barnard College,"Brooklyn, New York","Brooklyn, New York","New York, New York"
118,Margherita,Guzzi Vincenti,Fencing,Milan,Italty,Hartland,Wisconsin,Hartland ,Wisconsin,Penn State Univeristy ,"Milan, Italty","Hartland, Wisconsin","Hartland , Wisconsin"
120,Eli,Dershwitz,Fencing,Boston,Massachusetts,Sherborn,Massachusetts,Sherborn,Massachusetts,Harvard University,"Boston, Massachusetts","Sherborn, Massachusetts","Sherborn, Massachusetts"
122,Nick,Itkin,Fencing,Los Angeles,California,Los Angeles,California,South Bend,Indiana,University of Notre Dame,"Los Angeles, California","Los Angeles, California","South Bend, Indiana"
123,Alexander,Massialas,Fencing,San Francisco,California,San Francisco,California,San Francisco,California,Stanford University,"San Francisco, California","San Francisco, California","San Francisco, California"
124,Jackie,Dubrovich,Fencing,Paterson,New Jersey,Riverdale,New Jersey,Maplewood,New Jersey,Columbia University,"Paterson, New Jersey","Riverdale, New Jersey","Maplewood, New Jersey"
125,Lauren,Scruggs,Fencing,Queens,New York,Queens,New York,Cambridge,Massachusetts,Harvard University,"Queens, New York","Queens, New York","Cambridge, Massachusetts"
126,Tatiana,Nazlymov,Fencing,Bethesda,Maryland,Bethesda,Maryland,Princeton,New Jersey,Princeton University,"Bethesda, Maryland","Bethesda, Maryland","Princeton, New Jersey"
127,Magda,Skarbonkiewicz,Fencing,Portland,Oregon,Portland,Oregon,Portland,Oregon,University of Notre Dame - incoming freshman,"Portland, Oregon","Portland, Oregon","Portland, Oregon"
129,Gerek,Meinhardt,Fencing,San Francisco,California,San Francisco,California,Lexington,Kentucky,University of Notre Dame,"San Francisco, California","San Francisco, California","Lexington, Kentucky"
132,Kat,Holmes ,Fencing,Washington ,District of Columbia,Washington ,District of Columbia,New York ,New York,Princeton University ,"Washington , District of Columbia ","Washington , District of Columbia ","New York , New York "
133,Maia ,Weintraub ,Fencing ,Philadelphia ,Pennsylvania,Philadelphia ,Pennsylvania,New York ,New York,Princeton University ,"Philadelphia , Pennsylvania ","Philadelphia , Pennsylvania","New York , New York "
134,Miles ,Chamley-Watson,Fencing ,Westminister ,England,Westiminster ,England,University Park ,Pennsylvania,Penn State University ,"Westminister , England ","Westiminster , England ","University Park , Pennsylvania "
135,Filip ,Dolegiewicz,Fencing ,Park Ridge ,Illinois,Park Ridge ,Illinois,Boston ,Massachusetts,Harvard University ,"Park Ridge , Illinois ","Park Ridge , Illinois","Boston , Massachusetts "
136,Kelsey ,Bing,Field Hockey,Houston ,Texas,Houston ,Texas,Santa Clara ,California,Stanford University ,"Houston , Texas ","Houston , Texas ","Santa Clara , California "
137,Leah ,Crouse ,Field Hockey,Virginia Beach ,Virginia,Virginia Beach ,Virginia,Spring City ,Pennsylvania,Duke University ,"Virginia Beach , Virginia ","Virginia Beach , Virginia ","Spring City , Pennsylvania "
138,Brooke ,DeBerdine,Field Hockey,Millersville ,Pennsylvania,Millersville ,Pennsylvania,Spring City ,Pennsylvania,University Maryland ,"Millersville , Pennsylvania ","Millersville , Pennsylvania ","Spring City , Pennsylvania "
139,Emma ,DeBerdine,Field Hockey,Millersville ,Pennsylvania,Millersville ,Pennsylvania,Spring City ,Pennsylvania,University Maryland ,"Millersville , Pennsylvania ","Millersville , Pennsylvania ","Spring City , Pennsylvania "
140,Phia ,Gladieux,Field Hockey,Oley ,Pennsylvania,Oley ,Pennsylvania,Conshohocken,Pennsylvania,Penn State University ,"Oley , Pennsylvania ","Oley , Pennsylvania ","Conshohocken, Pennsylvania "
141,Amanda ,Golini,Field Hockey,Randolph ,New Jersey,Randolph ,New Jersey,Conshohocken,Pennsylvania,Randolph High School Lafayette College,"Randolph , New Jersey ","Randolph , New Jersey ","Conshohocken, Pennsylvania "
142,Ally ,Hammel,Field Hockey,Duxbury ,Massachusetts,Duxbury ,Massachusetts,Duxbury ,Massachusetts,Boston University ,"Duxbury , Massachusetts","Duxbury , Massachusetts ","Duxbury , Massachusetts "
143,Ashley ,Hoffman,Field Hockey,Mohnton ,Pennsylvania,Mohnton,Pennsylvania,Conshohocken,Pennsylvania,University of North Carolina ,"Mohnton , Pennsylvania ","Mohnton, Pennsylvania ","Conshohocken, Pennsylvania "
144,Karlie ,Kisha,Field Hockey,Hamburg,Pennsylvania,Hamburg,Pennsylvania,Villanova ,Pennsylvania,University of Connecticut ,"Hamburg, Pennsylvania ","Hamburg, Pennsylvania ","Villanova , Pennsylvania "
145,Kelee,Lepage,Field Hockey,Honey Brook,Pennsylvania,Honey Brook,Pennsylvania,Charlotte,North Carolina,University of Maryland ,"Honey Brook, Pennsylvania ","Honey Brook, Pennsylvania ","Charlotte, North Carolina "
146,Ashley ,Sessa,Field Hockey,Schwenksville,Pennsylvania,Schwenksville,Pennsylvania,Evanston ,Illinois,Northwestern University ,"Schwenksville, Pennsylvania ","Schwenksville, Pennsylvania ","Evanston , Illinois"
147,Meredith ,Sholder,Field Hockey,Fleetwood ,Pennsylvania,Fleetwood ,Pennsylvania,Chapel Hill ,North Carolina,University of North Carolina,"Fleetwood , Pennsylvania ","Fleetwood , Pennsylvania ","Chapel Hill , North Carolina "
148,Abby ,Tamer,Field Hockey,Dexter ,Michigan,Dexter ,Michigan,Ann Arbor ,Michigan,University of Michigan ,"Dexter , Michigan ","Dexter , Michigan ","Ann Arbor , Michigan "
149,Megan ,Valzonis,Field Hockey,San Diego,California,San Diego,California,Berkeley ,California,UC Berkeley ,"San Diego, California ","San Diego, California ","Berkeley , California "
150,Beth ,Yeager,Field Hockey,Greenwich,Connecticut,Greenwich,Connecticut,Princeton ,New Jersey,Princeton University,"Greenwich, Connecticut","Greenwich, Connecticut","Princeton , New Jersey"
151,Maddie ,Zimmer,Field Hockey,Owatonna,Minnesota,Hershey ,Pennsylvania,Evanston ,Illinois,Northwestern University ,"Owatonna, Minnesota ","Hershey , Pennsylvania ","Evanston , Illinois"
152,Nelly,Korda,Golf,Bradenton,Florida,Bradenton,Florida,Bradenton,Florida,,"Bradenton, Florida","Bradenton, Florida","Bradenton, Florida"
153,Lilia,Vu,Golf,Fountain Valley ,California,Fountain Valley ,California,Fountain Valley ,California,UCLA,"Fountain Valley , California ","Fountain Valley , California ","Fountain Valley , California "
154,Rose,Zhang,Golf,Arcadia ,California,Irvine ,California,Stanford ,California,Stanford University ,"Arcadia , California ","Irvine , California","Stanford , California "
155,Collin ,Morikawa,Golf,Los Angeles,California,Los Angeles,California,Las Vegas,Nevada,"University of California, Berkeley","Los Angeles, California","Los Angeles, California","Las Vegas, Nevada"
156,Scottie ,Scheffler ,Golf ,Ridgewood ,New Jersey,Dallas ,Texas,Dallas ,Texas,University of Texas ,"Ridgewood , New Jersey ","Dallas , Texas ","Dallas , Texas"
157,Wyndham,Clark,Golf,Denver ,Colorado,Denver ,Colorado,Scottsdale ,Arizona,Univeristy of Oregon ,"Denver , Colorado","Denver , Colorado","Scottsdale , Arizona"
158,Xander,Schauffele,Golf,San Diego,California,San Diego,California,Jupiter ,Florida,Long Beach University I San DIego State,"San Diego, California","San Diego, California","Jupiter , Florida "
173,Jack ,Yonezuka,Judo ,West Long Beach ,New Jersey,West Long Beach ,New Jersey,West Long Beach ,New Jersey,,"West Long Beach , New Jersey ","West Long Beach , New Jersey","West Long Beach , New Jersey "
176,Angelica ,Delgado,Judo ,Miami ,Florida,Miami ,Florida,Coconut Creek,Florida,Florida International University,"Miami , Florida","Miami , Florida ","Coconut Creek, Florida "
178,Evita,Griskenas,Rhythmic Gymnastics,Chicago,Illinois,Orland Park,Illinois,New York,New York,Columbia University,"Chicago, Illinois","Orland Park, Illinois","New York, New York"
180,Kara,Kohler,Rowing,Clayton,California,Clayton,California,Austin,Texas,"University of California, Berkley","Clayton, California","Clayton, California","Austin, Texas"
181,William,Bender,Rowing,Norwich,Vermont,Norwich,Vermont,Norwich ,Vermont,Dartmouth College,"Norwich, Vermont","Norwich, Vermont","Norwich , Vermont"
183,Charlotte ,Buck,Rowing,Nyack,New York,Nyack,New York,Princeton,New Jersey,Columbia University,"Nyack, New York","Nyack, New York","Princeton, New Jersey"
184,Molly,Bruggeman,Rowing,Dayton,Ohio,Dayton,Ohio,Princeton,New Jersey,University of Notre Dame,"Dayton, Ohio","Dayton, Ohio","Princeton, New Jersey"
185,Nina,Casatagna,Rowing,Cincinnati,Ohio,Cincinnati,Ohio,Princeton,New Jersey,University of Washington,"Cincinnati, Ohio","Cincinnati, Ohio","Princeton, New Jersey"
186,Olivia,Coffey,Rowing,Elmira,New York,Watkins Glen,New York,Princeton,New Jersey,Harvard University,"Elmira, New York","Watkins Glen, New York","Princeton, New Jersey"
187,Claire,Collins,Rowing,Greenbrae,California,McLean,Virginia,Princeton,New Jersey,Princeton University,"Greenbrae, California","McLean, Virginia","Princeton, New Jersey"
189,Emily,Kallfelz,Rowing,Jamestown,Rhode Island,Jamestown,Rhode Island,Jamestown,Rhode Island,Princeton University,"Jamestown, Rhode Island","Jamestown, Rhode Island","Jamestown, Rhode Island"
190,Kaitlin,Knifton,Rowing,Austin,Texas,Austin,Texas,Austin,Texas,The University of Texas at Austin,"Austin, Texas","Austin, Texas","Austin, Texas"
192,Meghan,Musnicki,Rowing,Naples,New York,Naples,New York,San Francisco,California,St. Lawrence University | Ithaca College,"Naples, New York","Naples, New York","San Francisco, California"
193,Molly,Reckford,Rowing,Short Hills,New Jersey,Short Hills,New Jersey,Menlo Park ,California,Dartmouth College,"Short Hills, New Jersey","Short Hills, New Jersey","Menlo Park , California"
195,Regina,Salmons,Rowing,Methuen,Massachusetts,Methuen,Massachusetts,Princeton,New Jersey,University of Pennsylvania,"Methuen, Massachusetts","Methuen, Massachusetts","Princeton, New Jersey"
196,Michelle,Sechser ,Rowing,San Luis Obispo,California,Folsom,California,Portsmouth,New Hampshire,University of Tulsa,"San Luis Obispo, California","Folsom, California","Portsmouth, New Hampshire"
198,Kristi,Wagner,Rowing,Weston,Massachusetts,Weston,Massachusetts,Saratoga Springs,New York,Yale University,"Weston, Massachusetts","Weston, Massachusetts","Saratoga Springs, New York"
199,Madeleine ,Wanamaker,Rowing,Neenah,Wisconsin,Neenah,Wisconsin,Princeton,New Jersey,University of Wisconsin,"Neenah, Wisconsin","Neenah, Wisconsin","Princeton, New Jersey"
200,Justin,Best,Rowing,Kennett Square,Pennsylvania,Kennett Square,Pennsylvania,Oakland,California,Drexel University,"Kennett Square, Pennsylvania","Kennett Square, Pennsylvania","Oakland, California"
201,Liam,Corrigan,Rowing,Old Lyme,Connecticut,Old Lyme,Connecticut,San Francisco,California,Harvard University,"Old Lyme, Connecticut","Old Lyme, Connecticut","San Francisco, California"
202,Michael,Grady,Rowing,Pittsburgh,Pennsylvania,Pittsburgh,Pennsylvania,Oakland,California,Cornell University,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania","Oakland, California"
203,Nick,Mead,Rowing,Strafford,Pennsylvania,Strafford,Pennsylvania,New York,New York,Princeton University,"Strafford, Pennsylvania","Strafford, Pennsylvania","New York, New York"
204,Jacob ,Plihal,Rowing ,Seattle ,Washington,Seattle ,Washington,Seattle,Washington,Northeastern University ,"Seattle , Washington ","Seattle , Washington","Seattle, Washington"
205,Ben ,Davison,Rowing ,Iverness,Florida,Iverness ,Florida,Iverness ,Florida,University of Washington ,"Iverness, Florida ","Iverness , Florida","Iverness , Florida "
206,Sorin,Koszyk,Rowing ,Grosse Point Park ,Michigan,Grosse Point Park ,Michigan,Oakland ,California,Cornell University ,"Grosse Point Park , Michigan ","Grosse Point Park , Michigan ","Oakland , California"
209,Clark ,Dean,Rowing ,Sarasota,Florida,Sarasota,Florida,Oakland,California,Harvard University,"Sarasota, Florida","Sarasota, Florida","Oakland, California"
213,Pieter,Quinton,Rowing ,Portland,Oregon,Portland,Oregon,Oakland,California,Harvard University,"Portland, Oregon","Portland, Oregon","Oakland, California"
216,Jessia ,Thoennes,Rowing ,Madison,Wisconsin,Madison ,Wisconsin,Denver ,Colorado,,"Madison, Wisconsin","Madison , Wisconsin","Denver , Colorado"
226,Kayla ,Canett,Rugby ,Fallbrook ,California,Fallbrook ,California,Los Angeles ,California,Pennsylvania State University ,"Fallbrook , California ","Fallbrook , California ","Los Angeles , California "
227,Lauren ,Doyle,Rugby ,Boody ,Illinois,Boody ,Illinois,Chicago ,Illinois,Eastern Illinois University,"Boody , Illinois ","Boody , Illinois ","Chicago , Illinois "
228,Alev ,Kelter,Rugby ,Eagleriver ,Arkansas,Eagleriver ,Arkansas,Los Angeles ,California,University of Wisconsin ,"Eagleriver , Arkansas ","Eagleriver , Arkansas ","Los Angeles , California"
229,Sarah,Levy,Rugby ,Cape Town ,South Africa,San Diego ,California,New York,New York,Northeastern University ,"Cape Town , South Africa ","San Diego , California ","New York, New York "
230,Ilona ,Maher,Rugby ,Burlington ,Vermont,Burlington ,Vermont,Los Angeles ,California,Quinnipiac University,"Burlington , Vermont ","Burlington , Vermont ","Los Angeles , California"
231,Alena ,Olsen,Rugby ,Grand Rapids ,Michigan,Grand Rapids ,Michigan,Los Angeles ,California,University of Michigan ,"Grand Rapids , Michigan ","Grand Rapids , Michigan ","Los Angeles , California "
232,Ariana,Ramsey,Rugby ,Bridgeport ,Pennsylvania,Bridgeport ,Pennsylvania,Philadelphia ,Pennsylvania,Dartmouth College ,"Bridgeport , Pennsylvania ","Bridgeport , Pennsylvania","Philadelphia , Pennsylvania "
233,Steph ,Rovetti,Rugby ,Reno,Nevada,Reno,Nevada,San Diego,California,Brigham Young University,"Reno, Nevada","Reno, Nevada","San Diego, California"
234,Spiff ,Sedrick,Rugby ,Salt Lake City,Utah,Salt Lake City,Utah,Los Angeles ,California,Life University,"Salt Lake City, Utah","Salt Lake City, Utah","Los Angeles , California "
235,Sammy ,Sullivan,Rugby ,Fayetteville,North Carolina,Fayetteville,North Carolina,Glendale ,Colorado,Army West Point,"Fayetteville, North Carolina","Fayetteville, North Carolina","Glendale , Colorado "
236,Naya,Tapper,Rugby,Beaufort,South Carolina,Charlotte,North Carolina,San Diego,California,University of North Carolina ,"Beaufort, South Carolina","Charlotte, North Carolina","San Diego, California"
237,Daniela,Moroz,Sailing,San Francisco Bay Area,California,San Francisco Bay Area,California,San Francisco,California,University of Hawaii,"San Francisco Bay Area, California","San Francisco Bay Area, California","San Francisco, California"
238,Lara,Dallman-Weiss,Sailing,Shoreview,Minnesota,Miami,Florida,Miami,Florida,Eckerd College,"Shoreview, Minnesota","Miami, Florida","Miami, Florida"
239,Erika,Reineke,Sailing,Fort Lauderdale,Florida,Fort Lauderdale,Florida,Fort Lauderdale,Florida,Boston College,"Fort Lauderdale, Florida","Fort Lauderdale, Florida","Fort Lauderdale, Florida"
240,Dominique,Stater,Sailing,Miami,Florida,Miami,Florida,Miami,Florida,University of Miami,"Miami, Florida","Miami, Florida","Miami, Florida"
241,Stephanie,Roble,Sailing,Miami ,Florida,East Troy,Wisconsin,Miami,Florida,Old Dominion University,"Miami , Florida","East Troy, Wisconsin","Miami, Florida"
242,Maggie,Shea,Sailing,Chicago,Illinois,Wilmette,Illinois,Chicago ,Illinois,Connecticut College,"Chicago, Illinois","Wilmette, Illinois","Chicago , Illinois"
243,Sarah,Newberry Moore,Sailing,Miami ,Florida,Miami ,Florida,Miami,Florida,New College of Florida ,"Miami , Florida","Miami , Florida","Miami, Florida"
244,Stu,McNay,Sailing,Boston,Massachusetts,Providence ,Rhode Island,Providence ,Rhode Island,Yale University,"Boston, Massachusetts","Providence , Rhode Island","Providence , Rhode Island"
245,Hans,Henken,Sailing,San Clemente,California,Coronado,California,San Francisco,California,California Rowing Club,"San Clemente, California","Coronado, California","San Francisco, California"
246,Ian,Barrows,Sailing,St. Thomas,U.S. Virgin Islands,St. Thomas,U.S. Virgin Islands,St. Thomas,U.S. Virgin Islands,Yale University,"St. Thomas, U.S. Virgin Islands","St. Thomas, U.S. Virgin Islands","St. Thomas, U.S. Virgin Islands"
247,Noah,Lyons,Sailing,Clearwater ,Florida,Clearwater ,Florida,Clearwater ,Florida,University of South Florida ,"Clearwater , Florida","Clearwater , Florida","Clearwater , Florida"
248,Markus,Edegran,Sailing,West Palm Beach ,Florida,West Palm Beach ,Florida,Clearwater ,Florida,St. Mary's College of Maryland ,"West Palm Beach , Florida","West Palm Beach , Florida","Clearwater , Florida"
249,David,Liebenberg,Sailing,West Palm Beach ,Florida,West Palm Beach ,Florida,Miami,Florida,Tufts University ,"West Palm Beach , Florida","West Palm Beach , Florida","Miami, Florida"
250,Katelyn,Abeln,Shooting,Douglasville,George,Douglasville,Georgia,Douglasville ,Georgia,Ohio State University,"Douglasville, George","Douglasville, Georgia","Douglasville , Georgia"
251,Alexis ,Lagan,Shooting ,Boulder City,Nevada,Boulder City,Nevada,Boulder City,Nevada,University of Utah,"Boulder City, Nevada","Boulder City, Nevada","Boulder City, Nevada"
252,Sagen,Maddalena,Shooting,Woodland,California,Groveland,California,Fort Benning,Georgia,University of Alaska Fairbanks,"Woodland, California","Groveland, California","Fort Benning, Georgia"
253,Mary,Tucker,Shooting,Pineville,North Carolina,Sarasota ,Florida,Sarasota,Florida,University of Kentucky | University of West Virginia ,"Pineville, North Carolina","Sarasota , Florida","Sarasota, Florida"
254,Ryann,Phillips,Shooting,Gail,Texas,Gail,Texas,Corpus Christi,Texas,Texas A&M University-Corpus Christi,"Gail, Texas","Gail, Texas","Corpus Christi, Texas"
255,Austen ,Smith,Shooting,Dallas,Texas,Keller,Texas,Keller,Texas,University of Texas - Arlington,"Dallas, Texas","Keller, Texas","Keller, Texas"
256,Rachel,Tozier,Shooting,Liberty,Missouri,Pattonsburg,Missouri,Fort Moore,Georgia,University of Central Missouri,"Liberty, Missouri","Pattonsburg, Missouri","Fort Moore, Georgia"
257,Dania,Vizzi,Shooting,Tampa,Florida,Tampa,Florida,Odessa,Florida,University of Florida,"Tampa, Florida","Tampa, Florida","Odessa, Florida"
258,Ada,Khorkin ,Shooting ,Brookline ,Massachusetts,Brookline ,Massachusetts,Brookline ,Massachusetts,,"Brookline , Massachusetts","Brookline , Massachusetts","Brookline , Massachusetts "
259,Ivan,Roe,Shooting,Bozeman,Montana,Manhattan,Montana,Fort Moore,Georgia,Murray State University,"Bozeman, Montana","Manhattan, Montana","Fort Moore, Georgia"
260,Vincent,Hancock,Shooting,Port Charlotte,Florida,Eatonton,Georgia,Fort Worth,Texas,Troy University,"Port Charlotte, Florida","Eatonton, Georgia","Fort Worth, Texas"
261,Will,Hinton,Shooting,Lawrenceville,Georgia,Dacula,Georgia,Fort Moore,Georgia,Dacula High School,"Lawrenceville, Georgia","Dacula, Georgia","Fort Moore, Georgia"
262,Derrick,Mein,Shooting,Paola ,Kansas,Paola ,Kansas,Marengo,Ohio,Kansas State University ,"Paola , Kansas","Paola , Kansas","Marengo, Ohio"
263,Conner,Prince,Shooting,Burleson,Texas,Burleson,Texas,Burleson,Texas,Centennial High School,"Burleson, Texas","Burleson, Texas","Burleson, Texas"
264,Keith,Sanderson,Shooting,Plymouth,Massachusetts,Colorado Springs,Colorado,Seattle,Washington,,"Plymouth, Massachusetts","Colorado Springs, Colorado","Seattle, Washington"
265,Henry ,Leverett ,Shooting ,Bainbridge ,Georgia,Bainbridge,Georgia,Vienna ,Austria,Diplomatische Akademie Wien,"Bainbridge , Georgia ","Bainbridge, Georgia","Vienna , Austria "
266,Chris,Joslin,Skateboarding,Hawaiian Gardens,California,Hawaiian Gardens,California,Hawaiian Gardens,California,,"Hawaiian Gardens, California","Hawaiian Gardens, California","Hawaiian Gardens, California"
267,Gavin ,Bottger,Skateboarding,Oceanside ,California,Oceanside ,California,Oceanside ,California,,"Oceanside , California","Oceanside , California","Oceanside , California"
268,Jagger,Eaton,Skateboarding,Mesa,Arizona,Mesa,Arizona,Los Angeles,California,,"Mesa, Arizona","Mesa, Arizona","Los Angeles, California"
269,Nyjah,Huston,Skateboarding,Davis,California,Davis,California,Laguna Beach,California,,"Davis, California","Davis, California","Laguna Beach, California"
270,Tate ,Carew,Skateboarding,San Diego ,California,San Diego ,California,San Diego ,California,,"San Diego , California","San Diego , California","San Diego , California"
271,Tom,Schaar,Skateboarding,Malibu ,California,Malibu ,California,San Diego ,California,San Dieguito High School Academy,"Malibu , California","Malibu , California","San Diego , California"
272,Bryce,Wettstein,Skateboarding,Encinitas,California,Encinitas,California,Encinitas,California,"MiraCosta College, San Elijo Campus","Encinitas, California","Encinitas, California","Encinitas, California"
273,Mariah,Duran,Skateboarding,Albuquerque,New Mexico,Albuquerque,New Mexico,Albuquerque,New Mexico,,"Albuquerque, New Mexico","Albuquerque, New Mexico","Albuquerque, New Mexico"
274,Minna ,Stess,Skateboarding,Petaluma,California,Petaluma,California,Petaluma,California,,"Petaluma, California","Petaluma, California","Petaluma, California"
275,Paige ,Heyn,Skateboarding,Tempe,Arizona,Tempe,Arizona,Tempe,Arizona,,"Tempe, Arizona ","Tempe, Arizona ","Tempe, Arizona "
276,Poe ,Pinson,Skateboarding,Fernandina Beach ,Florida,Fernandina Beach ,Florida,Fernandina Beach ,Florida,,"Fernandina Beach , Florida ","Fernandina Beach , Florida ","Fernandina Beach , Florida "
277,Ruby,Lilley,Skateboarding,Ocean City ,Maryland,Oceanside ,California,Oceanside ,California,,"Ocean City , Maryland","Oceanside , California ","Oceanside , California "
278,Brooke,Raboutou,Sport Climbing,Boulder,Colorado,Boulder,Colorado,Boulder,Colorado,University of San Diego,"Boulder, Colorado","Boulder, Colorado","Boulder, Colorado"
279,Emma ,Hunt,Sport Climbing,Woodstock,Georgia,Woodstock,Georgia,Woodstock,Georgia,Kennesaw State University,"Woodstock, Georgia","Woodstock, Georgia","Woodstock, Georgia"
280,Natalia,Grossman,Sport Climbing,Santa Cruz,California,Boulder,Colorado,Salt Lake City,Utah,University of Colorado - Boulder,"Santa Cruz, California","Boulder, Colorado","Salt Lake City, Utah"
281,Piper,Kelly,Sport Climbing,Indianapolis,Indiana,Indianapolis,Indiana,Salt Lake City,Utah,Xavier University,"Indianapolis, Indiana","Indianapolis, Indiana","Salt Lake City, Utah"
282,Colin,Duffy,Sport Climbing,Broomfield,Colorado,Broomfield,Colorado,Broomfied,Colorado,University of Colorado - Boulder,"Broomfield, Colorado","Broomfield, Colorado","Broomfied, Colorado"
283,Jesse,Grupper,Sport Climbing,New York,New York,Montclair,New Jersey,Salt Lake City,Utah,Tufts University,"New York, New York","Montclair, New Jersey","Salt Lake City, Utah"
284,Samuel,Watson,Sport Climbing,Southlake,Texas,Southlake,Texas,Dallas,Texas,,"Southlake, Texas","Southlake, Texas","Dallas, Texas"
285,Zach ,Hammer,Sport Climbing,Ann Arbor,Michigan,Ann Arbor,Michigan,Ann Arbor,Michigan,,"Ann Arbor, Michigan","Ann Arbor, Michigan","Ann Arbor, Michigan"
286,Alyssa,Naeher,Soccer,Bridgeport,Connecticut,Bridgeport,Connecticut,Chicago,Illinois,Penn State University,"Bridgeport, Connecticut","Bridgeport, Connecticut","Chicago, Illinois"
287,Casey ,Krueger,Soccer,Naperville,Illinois,Naperville,Illinois,Chicago,Illinois,Florida State University,"Naperville, Illinois","Naperville, Illinois","Chicago, Illinois"
288,Casey,Murphy,Soccer,Bridgewater,New Jersey,Bridgewater,New Jersey,Cary,North Carolina,Rutgers,"Bridgewater, New Jersey","Bridgewater, New Jersey","Cary, North Carolina"
289,Catarina ,Macario,Soccer,"Sao Luis, Brazil",,San Diego,California,"London, England",,Stanford University,"Sao Luis, Brazil, ","San Diego, California","London, England, "
290,Crystal,Dunn,Soccer,New Hyde Park,New York,Rockville Centre,New York,"Washington, DC",,University of North Carolina at Chapel Hill,"New Hyde Park, New York","Rockville Centre, New York","Washington, DC, "
291,Emily,Fox,Soccer,Ashburn,Virginia,Ashburn,Virginia,Cary,North Carolina,University of North Carolina at Chapel Hill,"Ashburn, Virginia","Ashburn, Virginia","Cary, North Carolina"
292,Emily,Sonnett,Soccer,Marietta,Georgia,Marietta,Georgia,Seattle,Washington,University of Virginia,"Marietta, Georgia","Marietta, Georgia","Seattle, Washington"
293,Jaedyn ,Shaw,Soccer,Frisco ,Texas,Frisco ,Texas,San Diego ,California,University of North Carolina at Chapel Hill,"Frisco , Texas ","Frisco , Texas ","San Diego , California "
294,Jenna ,Nighswonger,Soccer,Huntington Beach ,California,Huntington Beach ,California,Harrison ,New Jersey,Florida State University,"Huntington Beach , California","Huntington Beach , California ","Harrison , New Jersey "
295,Korbin ,Albert,Soccer,Grayslake ,Illinois,Grayslake ,Illinois,France,,Notre Dame University,"Grayslake , Illinois ","Grayslake , Illinois ","France, "
296,Lindsey,Horan,Soccer,Golden???,Colorado,Golden,Colorado,"Lyon, France",,Golden High School,"Golden???, Colorado","Golden, Colorado","Lyon, France, "
297,Mallory ,Swanson,Soccer,Littelon ,Colorado,Highlands Ranch,Colorado,Chicago,Illinois,,"Littelon , Colorado","Highlands Ranch, Colorado","Chicago, Illinois"
298,Naomi,Girma,Soccer,San Jose,California,San Jose,California,San Diego,California,Stanford University,"San Jose, California","San Jose, California","San Diego, California"
299,Rose,Lavelle,Soccer,Cincinnati,Ohio,Cincinnati,Ohio,Tacoma,Washington,Univeristy of Wisconsin,"Cincinnati, Ohio","Cincinnati, Ohio","Tacoma, Washington"
300,Sam ,Coffey,Soccer,Sleepy Hollow ,New York,Sleepy Hollow ,New York,Portland,Oregon,Pennsylvania State University ,"Sleepy Hollow , New York ","Sleepy Hollow , New York","Portland, Oregon"
301,Sophia,Smith,Soccer,Windsor ,Colorado,Windsor,Colorado,Portland,Oregon,Stanford University,"Windsor , Colorado","Windsor, Colorado","Portland, Oregon"
302,Tierna,Davidson,Soccer,Menlo Park,California,Menlo Park,California,Chicago,Illinois,Stanford University,"Menlo Park, California","Menlo Park, California","Chicago, Illinois"
