,FIRST_NAME,LAST_NAME,SPORT,BIRTHPLACE,BIRTHPLACE_STATE,HOMETOWN,HOMETOWN_STATE,CURRENT_RESIDENCE,CURRENT_RESIDENCE_STATE,SCHOOL,FULL_BIRTHPLACE,FULL_HOMETOWN,FULL_RESIDENCE
588,Ryder,Dodd,Water Polo,Long Beach,California,Long Beach,California,Long Beach,California,"JSerra Catholic High School / University of California, Los Angeles (Future)","Long Beach, California","Long Beach, California","Long Beach, California"
589,Hampton  ,Morris ,Weightlifting ,Marietta ,Georgia,Marietta ,Georgia,Marietta ,Georgia,,"Marietta , Georgia ","Marietta , Georgia ","Marietta , Georgia "
590,Wes ,Kitts,Weightlifting ,Knoxville ,Tennessee,Knoxville ,Tennessee,Sacramento ,California,,"Knoxville , Tennessee ","Knoxville , Tennessee ","Sacramento , California "
591,Jourdan,Delacruz,Weightlifting,Wylie,Texas,Wylie,Texas,Lawrenceville,Georgia,University of Northern Colorado,"Wylie, Texas","Wylie, Texas","Lawrenceville, Georgia"
592,Mary ,Theisen-Lappen,Weightlifting ,Eau Claire,Wisconsin,Eau Claire,Wisconsin,Bloomington ,Indiana,Indiana State University/University of Missouri,"Eau Claire, Wisconsin ","Eau Claire, Wisconsin ","Bloomington , Indiana "
593,Olivia ,Reeves,Weightlifting ,Hixson,Tennessee,Hixson,Tennessee,Chattanooga,Tennessee,University of Tennessee-Chattanooga,"Hixson, Tennessee ","Hixson, Tennessee ","Chattanooga, Tennessee"
594,Amit,Elor,Wrestling,Walnut Creek,California,Walnut Creek,California,Walnut Creek ,California,Diablo Valley College,"Walnut Creek, California","Walnut Creek, California","Walnut Creek , California"
595,Dom,Parrish,Wrestling,Scotts Valley,California,Scotts Valley,California,Tempe,Arizona,"Simon Fraser University (British Columbia, Canada)","Scotts Valley, California","Scotts Valley, California","Tempe, Arizona"
597,Kayla,Miracle,Wrestling,Culver,Indiana,Bloomington,Indiana,Tempe,Arizona,Campbellsville,"Culver, Indiana","Bloomington, Indiana","Tempe, Arizona"
599,Sarah,Hildebrandt,Wrestling,Granger,Indiana,Granger,Indiana,Colorado Springs,Colorado,King University,"Granger, Indiana","Granger, Indiana","Colorado Springs, Colorado"
604,Kyle ,Snyder ,Wrestling ,Woodbine ,Maryland,Woodbine,Maryland,Mechanicsburg ,Pennsylvania,Ohio State University ,"Woodbine , Maryland","Woodbine, Maryland","Mechanicsburg , Pennsylvania "
608,Zain,Retherford,Wrestling,Kenosha,Wisconsin,Benton,Pennsylvania,State College,Pennsylvania,Penn State University,"Kenosha, Wisconsin","Benton, Pennsylvania ","State College, Pennsylvania "
