first_name,last_name,sport,location_name,lat,long,location_type
Vinson,Chiu,Badminton,University of California - Berkley,39.436729,-77.813177,School
Joshua,Yuan,Badminton,University of California - Berkley,39.436729,-77.813177,School
Canyon,Barry,Basketball 3x3,University of Florida,29.6465474,-82.3559015,School
Canyon,Barry,Basketball 3x3,College of Charleston ,28.062,-82.413225,School
Kara,Kohler,Rowing,"University of California, Berkley",39.436729,-77.813177,School
Collin,Morikawa,Golf,"University of California, Berkeley",37.864425,-122.28713,School
Austen,Smith,Shooting,University of Texas - Arlington,32.635563,-97.148829,School
Jack,Alexy,Swimming,"University of California, Berkeley",37.864425,-122.28713,School
Keaton,Jones,Swimming,"University of California, Berkeley",37.864425,-122.28713,School
Ryan,Murphy,Swimming,"University of California, Berkeley",37.864425,-122.28713,School
Abbey,Weitzeil,Swimming,"University of California, Berkeley",37.864425,-122.28713,School
Alex,Shackell,Swimming,"University of California, Berkeley (future)",37.864425,-122.28713,School
Claire,Weinstein,Swimming,"University of California, Berkeley (future)",37.864425,-122.28713,School
Phoebe,Bacon,Swimming,University of Wisconsin-Madison,43.060926,-88.230636,School
Lily,Zhang,Table Tennis,"University of California, Berkeley ",37.864425,-122.28713,School
Adrian,Weinberg,Water Polo,"University of California, Berkeley",37.864425,-122.28713,School
Johnny,Hooper,Water Polo,"University of California, Berkeley",37.864425,-122.28713,School
Luca,Cupido,Water Polo,"University of California, Berkeley",37.864425,-122.28713,School
Mary,Theisen-Lappen,Weightlifting,University of Missouri,38.9403849,-92.3303124,School
Mary,Theisen-Lappen,Weightlifting,Indiana State University,39.4714026,-87.4108556,School
Sabrina,Ionescu,Basketball,University of Oregon,45.576228,-122.728709,School
Alyssa,Thomas,Basketball,University of Maryland,38.970388,-76.941919,School
Kelee,Lepage,Field Hockey,University of Maryland,38.970388,-76.941919,School
Wyndham,Clark,Golf,Univeristy of Oregon,45.576228,-122.728709,School
Lauren,Doyle,Rugby,Eastern Illinois University,41.477816,-87.683188,School
Cole,Hocker,Track and Field,University of Oregon,45.576228,-122.728709,School
DeAnna,Price,Track and Field,Southern Illinois University,41.477816,-87.683188,School
Jordyn,Poulter,Volleyball,University of Illinois,41.477816,-87.683188,School
Katelyn,Abeln,Shooting,Ohio State University,38.663964,-83.379076,School
Hunter,Armstrong,Swimming,Ohio State University,38.663964,-83.379076,School
Jordan,Larson,Volleyball,University of Nebraska,40.840834,-96.655292,School
Kyle,Snyder,Wrestling,Ohio State University,38.663964,-83.379076,School
Megumi,Field,Artistic Swimming,Stanford University,37.4276642,-122.1726349,School
Megumi,Field,Artistic Swimming,Laurel Springs High School,34.4477652,-119.252149,School
Kevin,Durant,Basketball,University of Texas,29.543813,-98.295356,School
Tyrese,Haliburton,Basketball,Iowa State University,42.52637,-92.71186,School
Grant,Koontz,Cycling (Track Cycling),"Texas A&M University,",29.543813,-98.295356,School
Alison,Gibson,Diving,University of Texas,29.543813,-98.295356,School
Will,Coleman,Equestrian (Eventing),University of Virginia,37.57557,-77.53823,School
Brooke,DeBerdine,Field Hockey,University Maryland,39.713941,-76.651296,School
Emma,DeBerdine,Field Hockey,University Maryland,39.713941,-76.651296,School
Abby,Tamer,Field Hockey,University of Michigan,43.556574,-83.994328,School
Scottie,Scheffler,Golf,University of Texas,29.543813,-98.295356,School
Regina,Salmons,Rowing,University of Pennsylvania,40.799672,-77.862339,School
Alena,Olsen,Rugby,University of Michigan,43.556574,-83.994328,School
Mary,Tucker,Shooting,University of West Virginia,39.64804,-79.9722896,School
Mary,Tucker,Shooting,University of Kentucky,38.0591743,-84.5183813,School
Rachel,Tozier,Shooting,University of Central Missouri,39.143437,-92.179684,School
Aaron,Shackell,Swimming,University of Texas (future),29.6465474,-82.3559015,School
Aaron,Shackell,Swimming,University of California (Current),29.649113,-82.3493296,School
Carson,Foster,Swimming,University of Texas,29.543813,-98.295356,School
Charlie,Swanson,Swimming,University of Michigan,43.556574,-83.994328,School
Drew,Kibler,Swimming,University of Texas,29.543813,-98.295356,School
Luke,Hobson,Swimming,University of Texas,29.543813,-98.295356,School
Matt,Fallon,Swimming,University of Pennsylvania,40.799672,-77.862339,School
Thomas,Heilman,Swimming,University of Virginia (future),37.57557,-77.53823,School
Alex,Walsh,Swimming,University of Virginia,37.57557,-77.53823,School
Emma,Weber,Swimming,University of Virginia,37.57557,-77.53823,School
Erin,Gemmell,Swimming,University of Texas,29.543813,-98.295356,School
Gretchen,Walsh,Swimming,University of Virginia,37.57557,-77.53823,School
Kate,Douglass,Swimming,University of Virginia,37.57557,-77.53823,School
Paige,Madden,Swimming,University of Virginia,37.57557,-77.53823,School
Austin,Krajicek,Tennis,Texas A&M University,29.543813,-98.295356,School
Danielle,Collins,Tennis,University of Virgina,38.0335571,-78.5105521,School
Danielle,Collins,Tennis,University of Florida,29.649113,-82.3493296,School
Heath,Baldwin,Track and Field,Michigan St. University,43.556574,-83.994328,School
Teetee,Terry,Track and Field,University of Southern California,34.1389,-118.35341,School
Micah,Christenson,Volleyball,University of Southern California,34.1389,-118.35341,School
Chiaka,Ogbogu,Volleyball,University of Texas,29.543813,-98.295356,School
Amanda,Longan,Water Polo,University of Southern California,34.1389,-118.35341,School
Kaleigh,Gilchrist,Water Polo,University of Southern California,34.1389,-118.35341,School
Hannes,Daube,Water Polo,University of Southern California,34.1389,-118.35341,School
Marko,Vavic,Water Polo,University of Southern California,34.1389,-118.35341,School
Jaime,Czarkowski,Artistic Swimming,Western Canada High School,33.612327,-95.747185,School
Kahleah,Cooper,Basketball,Rutgers University,28.062,-82.413225,School
Chelsea,Gray,Basketball,Duke University,28.062,-82.413225,School
Sunny,Choi,Breaking,Wharton School at the University of Pennsylvania,41.531732,-78.019723,School
Haley,Batten,Cycling (Mountain Bike),Quest University,28.062,-82.413225,School
Greg,Duncan,Diving,Purdue Universtiy,32.514584,-88.982277,School
Boyd,Martin,Equestrian (Eventing),Nimbin University (Australia),28.062,-82.413225,School
Leah,Crouse,Field Hockey,Duke University,28.062,-82.413225,School
Kaitlin,Knifton,Rowing,The University of Texas at Austin,30.633245,-97.677985,School
Justin,Best,Rowing,Drexel University,28.062,-82.413225,School
Jacob,Plihal,Rowing,Northeastern University,28.062,-82.413225,School
Sarah,Levy,Rugby,Northeastern University,28.062,-82.413225,School
Ilona,Maher,Rugby,Quinnipiac University,28.062,-82.413225,School
Spiff,Sedrick,Rugby,Life University,28.062,-82.413225,School
Noah,Lyons,Sailing,University of South Florida,28.062,-82.413225,School
David,Liebenberg,Sailing,Tufts University,28.062,-82.413225,School
Dania,Vizzi,Shooting,University of Florida,28.062,-82.413225,School
Henry,Leverett,Shooting,Diplomatische Akademie Wien,39.660862,-92.784359,School
Tom,Schaar,Skateboarding,San Dieguito High School Academy,33.612327,-95.747185,School
Piper,Kelly,Sport Climbing,Xavier University,28.062,-82.413225,School
Jesse,Grupper,Sport Climbing,Tufts University,28.062,-82.413225,School
Caitlin,Simmers,Surfing,Coastal Academy High School,33.612327,-95.747185,School
Carissa,Moore,Surfing,Punahou High,33.612327,-95.747185,School
Bobby,Finke,Swimming,University of Florida,28.062,-82.413225,School
Caeleb,Dressel,Swimming,University of Florida,28.062,-82.413225,School
Kieran,Smith,Swimming,University of Florida,28.062,-82.413225,School
Luke,Whitlock,Swimming,University of Florida,28.062,-82.413225,School
Emma,Weyant,Swimming,Univeristy of Florida,28.062,-82.413225,School
Jacob,Wooten,Track and Field,A&M University,28.062,-82.413225,School
Ryan,Crouser,Track and Field,University of Texas at Austin,30.633245,-97.677985,School
Alexis,Holmes,Track and Field,University of Florida,28.062,-82.413225,School
David,Smith,Volleyball,"University of California, Irvine ",33.640302,-117.769442,School
Annie,Drews,Volleyball,Purdue University,28.062,-82.413225,School
Ryder,Dodd,Water Polo,"University of California, Los Angeles (Future)",34.027291,-118.281464,School
Ryder,Dodd,Water Polo,JSerra Catholic High School,33.5208645,-117.6682319,School
Daniella,Ramirez,Artistic Swimming,University of California - Los Angeles,34.027291,-118.281464,School
Howard,Shu,Badminton,"University of California, Los Angeles ",34.027291,-118.281464,School
Kareem,Maddox,Basketball 3x3,Princeton University,25.538442,-80.408944,School
Jrue,Holiday,Basketball,"University of California, Los Angeles",34.027291,-118.281464,School
Kelsey,Plum,Basketball,University of Washington,47.666487,-122.309849,School
Kelly,Cheng (nee Claes),Beach Volleyball,"University of California, Los Angeles",34.027291,-118.281464,School
Aaron,Small,Canoeing,University of Washington,47.666487,-122.309849,School
Jonas,Ecker,Canoeing,University of Washington,47.666487,-122.309849,School
Tyler,Downs,Diving,Laurel Springs Online School (2021),39.820114,-75.006279,School
Tatiana,Nazlymov,Fencing,Princeton University,25.538442,-80.408944,School
Kat,Holmes,Fencing,Princeton University,25.538442,-80.408944,School
Maia,Weintraub,Fencing,Princeton University,25.538442,-80.408944,School
Amanda,Golini,Field Hockey,Randolph High School Lafayette College,43.061727,-89.512788,School
Ashley,Sessa,Field Hockey,Northwestern University,43.342292,-75.363505,School
Beth,Yeager,Field Hockey,Princeton University,25.538442,-80.408944,School
Maddie,Zimmer,Field Hockey,Northwestern University,43.342292,-75.363505,School
Lilia,Vu,Golf,"University of California, Los Angeles",34.027291,-118.281464,School
Nina,Casatagna,Rowing,University of Washington,47.666487,-122.309849,School
Claire,Collins,Rowing,Princeton University,25.538442,-80.408944,School
Emily,Kallfelz,Rowing,Princeton University,25.538442,-80.408944,School
Nick,Mead,Rowing,Princeton University,25.538442,-80.408944,School
Ben,Davison,Rowing,University of Washington,47.666487,-122.309849,School
Sagen,Maddalena,Shooting,University of Alaska Fairbanks,64.849753,-147.8128,School
Conner,Prince,Shooting,Centennial High School,39.62732,-104.779035,School
Natalia,Grossman,Sport Climbing,University of Colorado - Boulder,40.365798,-105.508768,School
Colin,Duffy,Sport Climbing,University of Colorado - Boulder,40.365798,-105.508768,School
Marcos,Giron,Tennis,"University of California, Los Angeles ",34.027291,-118.281464,School
Fred,Kerley,Track and Field,South Plains College,33.5678806,-102.2744052,School
Fred,Kerley,Track and Field,Texas A&M ,30.6186852,-96.3390404,School
Kenny,Bednarek,Track and Field,Indian Hills Community College,40.250357,-79.241043,School
Morgan,Pearson,Triathlon,University of Colorado Boulder,40.365798,-105.508768,School
Garrett,Muagututia,Volleyball,"University of California, Los Angeles",34.027291,-118.281464,School
Ashleigh,Johnson,Water Polo,Princeton University,25.538442,-80.408944,School
Madeline,Musselman,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,School
Rachel,Fattal,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,School
Chase,Dodd,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,School
Max,Irving,Water Polo,"University of California, Los Angeles ",34.027291,-118.281464,School
Xander,Schauffele,Golf,San Diego State,32.7764121,-117.074494,School
Xander,Schauffele,Golf,Long Beach University ,33.7838279,-118.1166653,School
