QUALIFIED,,UPDATED,NAME,GENDER,SPORT,BIRTHPLACE,STATION,HOMETOWN,STATION,CURRENT RESIDENCE,STATION,SCHOOL,STATION,CLUB/PRO TEAM,STATION,OLYMPIC TEAMS,OLYMPIC MEDALS,TWITTER/X URL,INSTAGRAM URL,TIKTOK URL,DRUPAL TAGS
,,X,Piper Arnold,Female,Freestyle Skiing (Halfpipe),"South Lake Tahoe, CA ",KCRA / KRNV,"South Lake Tahoe, CA ",KCRA / KRNV,,,,,Sierra at Tahoe Education Foundation,KCRA / KRNV,,,,https://www.instagram.com/pipe_dog/?hl=en,,X
,,X,Riley Jacobs,Female,Freestyle Skiing (Halfpipe),"Steamboat Springs, CO ",KUSA,"Oak Creek, CO ",KUSA,"Oak Creek, CO ",KUSA,"University of Colorado, Denver",KUSA,Steamboat Springs Winter Sports Club,KUSA,,,,https://www.instagram.com/flying_riley_jacobs/?hl=en,,X
,,X,Svea Irving,Female,Freestyle Skiing (Halfpipe),"Winter Park, CO ",KUSA,"Winter Park, CO ",KUSA,,,"University of Colorado, Boulder",KUSA,Winter Park Freeski Team ,KUSA ,,,,https://www.instagram.com/sveairving/?hl=en,Svea (@sveairving) | TikTok,X
,,X,Asher Michel,Male,Freestyle Skiing (Moguls),,,"Tabernash, CO ",KUSA,"Park City, UT ",KSL ,University of Utah ,KSL ,Winter Park Competition Center,KUSA,,,,https://www.instagram.com/asher.michel/?hl=en,,X
,,X,Charlie Mickel,Male,Freestyle Skiing (Moguls),"Durango, CO ",KOB,"Durango, CO ",KOB,"Park City, UT ",KSL ,University of Utah ,KSL,Durango Winter Sports Club,KOB,,,,https://www.instagram.com/charlie_mickel1/?hl=en,Charlie Mickel (@charliemickel) | TikTok,X
,,X,Dylan Walczyk,Male,Freestyle Skiing (Moguls),"Rochester, NY",WHEC,"Rochester, NY",WHEC,"Breckenridge, CO",KUSA,,,Bristol Mountain Freestyle Team / Ski & Snowboard Club Vail,WHEC / KUSA,2022,,,https://www.instagram.com/dylan_walczyk/?hl=en,,X
,,X,Nick Page,Male,Freestyle Skiing (Moguls),"Hollywood, FL ",WTVJ,"Park City, UT ",KSL ,"Park City, UT ",KSL ,,,Wasatch Freestyle,KSL,2022,,Nick Page (@nickpage_ski) / X,https://www.instagram.com/nickpage.ski/?hl=en,Nick Page (@nickpage.ski) | TikTok,X
,,X,Alli Macuga,Female,Freestyle Skiing (Moguls),"Park City, UT ",KSL ,"Park City, UT ",KSL ,"Park City, UT ",KSL ,University of Utah ,KSL ,Park City Ski & Snowboard ,KSL,,,,https://www.instagram.com/alli_macuga/?hl=en,Alli Macuga (@alli_.macuga) | TikTok,X
X,,X,Jaelin Kauf,Female,Freestyle Skiing (Moguls),"Vail, CO",KUSA,"Alta, WY ",KPVI,"Salt Lake City, UT",KSL,University of Utah ,KSL,Steamboat Springs Winter Sports Club,KUSA,2022,1 silver,Jaelin Kauf (@JaeBird96) / X,https://www.instagram.com/jaekauf/?hl=en,,X
,,X,Kai Owens,Female,Freestyle Skiing (Moguls),"Lu'An, China",,"Vail, CO ",KUSA,"Park City, UT",KSL,University of Utah ,KSL,Ski and Snowboard Club Vail,KUSA,2022,,Kai Owens (@KaiOwens14) / X,https://www.instagram.com/_kaiowens/,kai (@kai.owens) | TikTok,X
,,X,Kasey Hogg,Female,Freestyle Skiing (Moguls),,,"Kensington, NH",WBTS,"Park City, UT",KSL,University of Utah ,KSL,,,,,,https://www.instagram.com/kaseyhogg/?hl=en,Kasey Hogg (@kaseyhogg) | TikTok,X
,,X,Kylie Kariotis,Female,Freestyle Skiing (Moguls),,,"Tiburon, CA ",KNTV,"Park City, UT",KSL,Boston College,WBTS,Wasatch Freestyle,KSL,,,,https://www.instagram.com/kyliekariotis/?hl=en,,X
,,X,Olivia Giaccio,Female,Freestyle Skiing (Moguls),"Mount Kisco, NY",WNBC,"Redding, CT ",WVIT,"Park City, UT ",KSL ,Columbia University,WNBC,Steamboat Springs Winter Sports Club,KUSA,2022,,,https://www.instagram.com/oliviagiaccio/?hl=en,,X
,,X,Tess Johnson,Female,Freestyle Skiing (Moguls),"Vail, CO ",KUSA,"Vail, CO ",KUSA,"Vail, CO",KUSA,Vail Ski and Snowboard Academy ,KUSA,,,2018,,,https://www.instagram.com/_tessjohnson/?hl=en,,X
,,X,Tyler Wallasch,Male,Freestyle Skiing (Ski Cross),"Los Angeles, CA ",KNBC,"Mammoth Lakes, CA",KSEE,"Alpine, WY ",KPVI,,,Mammoth Mountain Ski Team ,KSEE ,2022,,Tyler Wallasch (@TJWallasch) / X,https://www.instagram.com/tjwallasch/?hl=en,,X
,,X,Maggie Swain,Female,Freestyle Skiing (Ski Cross),"Kingfield, ME ",WCSH,"Kingfield, ME ",WCSH,"Kingfield, ME ",WCSH,Carrabassett Valley Academy,WCSH,,,,,,https://www.instagram.com/maggie.swain11/?hl=en,,X
,,X,Morgan Shute,Female,Freestyle Skiing (Ski Cross),,,"Allendale, NJ ",WNBC,,,Carrabassett Valley Academy,WCSH,,,,,,https://www.instagram.com/morgan.shute/?hl=en,,X
X,,X,Alex Hall,Male,Freestyle Skiing (Slopestyle/Big Air),"Fairbanks, AK",KTVF,"Zurich, Switzerland",,"Park City, UT",KSL ,University of Utah ,KSL ,Park City Ski & Snowboard ,KSL,"2018, 2022",1 gold ,,https://www.instagram.com/alexhallskiing/?hl=en,,X
,,X,Colby Stevenson,Male,Freestyle Skiing (Slopestyle/Big Air),"Portsmouth, NH",WBTS,"Park City, UT",KSL ,"Park City, UT",KSL ,Westminster College,KSL,Park City Ski & Snowboard ,KSL,2022,1 silver,,https://www.instagram.com/colby_stevenson/?hl=en,colbystevenson.skiing (@colbystevenson.skiing) | TikTok,X
,,X,Jay Riccomini,Male,Freestyle Skiing (Slopestyle/Big Air),,,"Port Matilda, PA ",WJAC,"Park City, UT",KSL,,,Park City Ski & Snowboard ,KSL,,,,https://www.instagram.com/jay_riccomini/?hl=en,,X
,,X,Konnor Ralph,Male,Freestyle Skiing (Slopestyle/Big Air),"Helena, MT",KTVH,"Helena, MT",KTVH,"Park City, UT",KSL,,,,,,,,https://www.instagram.com/konnorralph//,,X
,,X,Mac Forehand,Male,Freestyle Skiing (Slopestyle/Big Air),"Norwalk, CT",WNBC,"Winhall, VT",WPTZ,"Park City, UT",KSL,,,Stratton Mountain School ,WPTZ / WNYT,2022,,,https://www.instagram.com/macforehand/?hl=en,,X
,,X,Troy Podmilsak,Male,Freestyle Skiing (Slopestyle/Big Air),"Park City, UT ",KSL ,"Park City, UT ",KSL ,"Park City, UT ",KSL ,,,Park City Ski & Snowboard ,KSL,,,,https://www.instagram.com/troypodmilsak/,Troy Podmilsak (@troypodmilsak) | TikTok,X
,,X,Grace Henderson,Female,Freestyle Skiing (Slopestyle/Big Air),"Durham, NH",WBTS,"Madbury, NH",WBTS,"Park City, UT ",KSL ,University of Utah ,KSL,Waterville Valley BBTS,WBTS,,,,https://www.instagram.com/grace_henderson/,Grace Henderson (@gracehendersonski) | TikTok,X
,,X,Marin Hamill,Female,Freestyle Skiing (Slopestyle/Big Air),"Salt Lake City, UT ",KSL ,"Park City, UT ",KSL ,"Park City, UT",KSL,University of Utah ,KSL,Park City Ski & Snowboard ,KSL,2022,,,https://www.instagram.com/i.go.hamill/?hl=en,,X
,,X,Rell Harwood,Female,Freestyle Skiing (Slopestyle/Big Air),"Park City, UT ",KSL ,"Park City, UT ",KSL ,"Park City, UT ",KSL ,University of Utah ,KSL,Park City Ski & Snowboard ,KSL,,,,https://www.instagram.com/rellharwood/?hl=en,,X
,,X,Adam Fox,Male,Hockey,"Jericho, NY ",WNBC,"Jericho, NY ",WNBC,,,Harvard University ,WBTS,New York Rangers ,WNBC,,,,https://www.instagram.com/foxyclean/?hl=en,Adam Fox (@foxyclean) / X,X
X,,X,Auston Matthews,Male,Hockey,"San Ramon, CA",KNTV,"Scottsdale, AZ ",KPNX,"Scottsdale, AZ ",KPNX,,,Toronto Maple Leafs,,,,Auston Matthews (@AM34) / X,https://www.instagram.com/austonmatthews/?hl=en,,X
X,,X,Brady Tkachuk,Male,Hockey,"Scottsdale, AZ ",KPNX,"St. Louis, MO ",KSDK,,,Boston University ,WBTS,Ottawa Senators,,,,brady tkachuk (@BradyTkachuk71) / X,https://www.instagram.com/bradytkachuk/?hl=en,BradyTkachuk (@btkachuk) | TikTok,X
,,X,Brock Faber,Male,Hockey,"Maple Grove, MN ",KARE,"Maple Grove, MN ",KARE,,,University of Minnesota ,KARE,Minnesota Wild ,KARE,2022,,Brock Faber (@Brockfaber14) / X,https://www.instagram.com/brockfaber14/?hl=en,,X
,,X,Brock Nelson,Male,Hockey,"Warroad, MN ",KVLY,"Warroad, MN ",KVLY,,,University of North Dakota,KVLY,Colorado Avalanche ,KUSA,,,,,,X
X,,X,Charlie McAvoy,Male,Hockey,"Long Beach, NY ",WNBC,"Long Beach, NY ",WNBC,"Boston, MA ",WBTS,Boston University ,WBTS,Boston Bruins,WBTS,,,Charlie McAvoy (@CMcAvoy44) / X,https://www.instagram.com/cmcavoy25/?hl=en,,X
,,X,Chris Kreider,Male,Hockey,"Boxford, MA ",WBTS,"Boxford, MA ",WBTS,,,Boston College ,WBTS,Anaheim Ducks ,KNBC,,,,,,X
,,X,Connor Hellebuyck,Male,Hockey,"Commerce, MI",WDIV,"Commerce, MI",WDIV,"Orchard Lake, MI ",WDIV,University of Massachusetts Lowell,WBTS,Winnipeg Jets ,,,,,,,X
,,X,Dylan Larkin,Male,Hockey,"Waterford Township, MI ",WDIV,"Waterford Township, MI ",WDIV,,,University of Michigan ,WDIV,Detroit Red Wings ,WDIV,,,Dylan Larkin (@Dylanlarkin39) / X,https://www.instagram.com/dylanlarkin71/?hl=en,,X
,,X,J.T. Miller,Male,Hockey,"East Palestine, OH ",WFMJ,"East Palestine, OH ",WFMJ,,,,,New York Rangers,WNBC,,,,https://www.instagram.com/j.tmiller9/?hl=en,,X
,,X,Jaccob Slavin,Male,Hockey,"Denver, CO ",KUSA,"Erie, CO ",KUSA ,,,Colorado College ,KOAA,Carolina Hurricanes ,WRAL,,,Jaccob Slavin (@Jslavin74) / X,https://www.instagram.com/jslavin74/,,X
X,,X,Jack Eichel,Male,Hockey,"North Chelmsford, MA ",WBTS,"North Chelmsford, MA ",WBTS,,,Boston University ,WBTS,Vegas Golden Knights ,KSNV,,,Jack Eichel (@jackeichel) / X,https://www.instagram.com/jackeichel/?hl=en,,X
,,X,Jack Hughes,Male,Hockey,"Orlando, FL ",WESH,"Toronto / Plymouth, MI ",WDIV,,,,,New Jersey Devils ,WNBC,,,jack hughes (@jhugh86) / X,https://www.instagram.com/jackhughes/?hl=en,Jack Hughes (@jackhughes) | TikTok,X
,,X,Jake Guentzel,Male,Hockey,"Omaha, NE ",WOWT,"Woodbury, MN ",KARE,,,University of Nebraska Omaha,WOWT,Tampa Bay Lightning,WFLA,,,,https://www.instagram.com/jakenbake20/?hl=en,,X
,,X,Jake Oettinger,Male,Hockey,"Lakeville, MN ",KARE,"Lakeville, MN ",KARE,,,Boston University ,WBTS,Dallas Stars ,KXAS,,,,https://www.instagram.com/jake30oettinger/?hl=en,,X
,,X,Jake Sanderson,Male,Hockey,"Whitefish, MT ",KCFW,"Whitefish, MT ",KCFW,,,University of North Dakota ,KVLY,Ottawa Senators,,2022,,,https://www.instagram.com/_jakesanderson/?hl=en,,X
,,X,Jeremy Swayman,Male,Hockey,"Anchorage, AK ",KTUU,"Anchorage, AK ",KTUU,,,University of Maine ,WLBZ,Boston Bruins,WBTS,,,Jeremy Swayman (@JeremySwayman) / X,https://www.instagram.com/jswayman1/?hl=en,,X
,,X,Kyle Connor,Male,Hockey,"Shelby Township, MI ",WDIV ,"Shelby Township, MI ",WDIV ,,,University of Michigan ,WDIV ,Winnipeg Jets ,,,,Kyle Connor (@KyleConnor) / X,https://www.instagram.com/kyleconnor/?hl=en,,X
,,X,Matt Boldy,Male,Hockey,"Milford, MA ",WBTS,"Millis, MA ",WBTS,"Millis, MA ",WBTS,Boston College,WBTS,Minnesota Wild,KARE ,,,Matt Boldy (@MattBoldy12) / X,https://www.instagram.com/mattboldy/,,X
,,X,Matthew Knies,Male,Hockey,"Phoenix, AZ ",KPNX,"Phoenix, AZ ",KPNX,,,University of Minnesota ,KARE,Toronto Maple Leafs,,2022,,,https://www.instagram.com/matthewknies/,,X
X,,X,Matthew Tkachuk,Male,Hockey,"Scottsdale, AZ ",KPNX,"St. Louis, MO ",KSDK,,,,,Florida Panthers ,WTVJ,,,Matthew Tkachuk (@TKACHUKycheese_) / X,https://www.instagram.com/matthew_tkachuk/,Matthew Tkachuk (@matthew_tkachuk) | TikTok,X
,,X,Noah Hanafin,Male,Hockey,"Boston, MA ",WBTS,"Norwood, MA ",WBTS,,,Boston College,WBTS,Vegas Golden Knights ,KSNV,,,,,,X
,,X,Patrick Kane,Male,Hockey,"Buffalo, NY",WGRZ,"Buffalo, NY",WGRZ,,,,,Detroit Red Wings,WDIV ,"2010, 2014 ",1 silver,Patrick Kane (@88PKane) / X,,,X
X,,X,Quinn Hughes,Male,Hockey,"Orlando, FL",WESH,"Toronto / Plymouth, MI ",WDIV,,,University of Michigan ,WDIV ,Vancouver Canucks ,,,,,https://www.instagram.com/_quinnhughes/,,X
,,X,Ryan McDonagh,Male,Hockey,"St. Paul, MN",KARE,"St. Paul, MN",KARE,,,University of Wisconsin,WMTV,Tampa Bay Lightning,WFLA,2014,,,https://www.instagram.com/rmcdonagh27/,,X
,,X,Vincent Trocheck,Male,Hockey,"Pittsburgh, PA ",WPXI,"Pittsburgh, PA ",WPXI,,,,,New York Rangers,WNBC,,,Vincent Trocheck (@V_Trocheck) / X,https://www.instagram.com/trocheck_21/,,X
,,X,Zach Werenski,Male,Hockey,"Grosse Pointe, MI ",WDIV,"Grosse Pointe, MI ",WDIV,,,University of Michigan ,WDIV ,Columbus Blue Jackets ,WCMH,,,Zach Werenski (@ZachWerenski) / X,https://www.instagram.com/zachwerenski/,,X
,,X,Alex Carpenter,Female,Hockey,"North Reading, MA ",WBTS,"North Reading, MA ",WBTS,,,Boston College,WBTS,Seattle Torrent (PWHL),KING,"2014, 2022",2 silver,Alex Carpenter (@carpy05) / X,https://www.instagram.com/carpy05/?hl=en,,X
,,X,Ava McNaughton,Female,Hockey,"Wexford, PA ",WPXI,"Seven Fields, PA ",WPXI,,,University of Wisconsin ,WMTV,,,,,,https://www.instagram.com/ava.mcnaughton/?hl=en,,X
,,X,Britta Curl-Salemme,Female,Hockey,"Bismarck, ND ",KFYR,"Bismarck, ND ",KFYR,,,University of Wisconsin ,WMTV,Minnesota Frost (PWHL),KARE,,,Britta Curl-Salemme (@brittacurl) / X,https://www.instagram.com/brittybrittybangbang_/?hl=en,,X
,,X,Caroline Harvey,Female,Hockey,"Pelham, NH",WBTS,"Salem, NH",WBTS,,,University of Wisconsin ,WMTV,,,2022,1 silver,,https://www.instagram.com/caroline_harvey__/?hl=en,,X
,,X,Cayla Barnes,Female,Hockey,"Eastvale, CA ",KNBC,"Eastvale, CA ",KNBC,,,Boston College / Ohio State University ,WBTS / WCMH,Seattle Torrent (PWHL),KING,"2018, 2022 ","1 gold, 1 silver",Cayla Barnes (@Cayla_barnes27) / X,https://www.instagram.com/cayla_barnes27/?hl=en,,X
,,X,Grace Zumwinkle,Female,Hockey,"Excelsior, MN ",KARE,"Excelsior, MN ",KARE,,,University of Minnesota ,KARE,Minnesota Frost (PWHL),KARE,2022,1 silver,Grace Zumwinkle (@gracezumwinkle) / X,https://www.instagram.com/gracezumwinkle/?hl=en,,X
,,X,Hayley Scamurra,Female,Hockey,"Williamsville, NY ",WGRZ,"Getzville, NY",WGRZ,,,Northeastern University ,WBTS,Montreal Victoire (PWHL) ,,2022,1 silver,,https://www.instagram.com/hayleyscamurra/?hl=en,,X
,,X,Hilary Knight,Female,Hockey,"Palo Alto, CA ",KNTV,"Sun Valley, ID ",KTFT,"Salt Lake City, UT",KSL,University of Wisconsin ,WMTV,Seattle Torrent (PWHL),KING,"2010, 2014, 2018, 2022","1 gold, 3 silver",Hilary Knight (@HilaryKnight) / X,https://www.instagram.com/hilaryknight/?hl=en,Hilary Knight (@hilaryknight) | TikTok,X
,,X,Jesse Compher,Female,Hockey,"Northbrook, IL ",WMAQ,"Northbrook, IL ",WMAQ,,,Boston University ,WBTS,Toronto Sceptres (PWHL) ,,2022,1 silver,Jesse Compher (@JessComph7) / X,https://www.instagram.com/jessecompher/?hl=en,Jesse Compher (@jessecompher) | TikTok,X
,,X,Joy Dunne,Female,Hockey,"St. Louis, MO ",KSDK,"O'Fallon, MO ",KSDK,,,Ohio State University ,WCMH,,,,,,https://www.instagram.com/joyv_dunne/?hl=en,,X
,,X,Kelly Pannek,Female,Hockey,"Plymouth, MN ",KARE,"Plymouth, MN ",KARE,,,University of Minnesota ,KARE,Minnesota Frost (PWHL) ,KARE ,"2018, 2022","1 gold, 1 silver",Kelly Pannek (@KellyPannek) / X,https://www.instagram.com/kpannek/,,X
,,X,Kendall Coyne Schofield,Female,Hockey,"Oak Lawn, IL",WMAQ,"Palos Heights, IL ",WMAQ ,"Palos Heights, IL ",WMAQ ,Northeastern University ,WBTS,Minnesota Frost (PWHL) ,KARE ,"2014, 2018, 2022","1 gold, 2 silver",Kendall Coyne Schofield (@KendallCoyne) / X,https://www.instagram.com/kendallcoyne26/,,X
,,X,Kirsten Simms,Female,Hockey,"Plymouth, MI ",WDIV ,"Plymouth, MI ",WDIV ,,,University of Wisconsin ,WMTV,,,,,Kirsten Simms (@simmsy0427) / X,https://www.instagram.com/simmsy22/?hl=en,Kirsten Simms (@ksimms22) | TikTok,X
,,X,Laila Edwards,Female,Hockey,"Cleveland Heights, OH ",WKYC,"Cleveland Heights, OH ",WKYC,,,University of Wisconsin ,WMTV,,,,,Laila Edwards (@laila_edwards21) / X,https://www.instagram.com/laila_edwards/?hl=en,laila edwards (@ledwards21) | TikTok,X
,,X,Lee Stecklein,Female,Hockey,"St. Paul, MN",KARE,"Roseville, MN",KARE,,,University of Minnesota ,KARE,Minnesota Frost (PWHL) ,KARE ,"2014, 2018, 2022","1 gold, 2 silver",Lee Stecklein (@LeeSteck2) / X,https://www.instagram.com/leestecklein/,,X
,,X,Megan Keller,Female,Hockey,"Farmington Hills, MI ",WDIV,"Farmington Hills, MI ",WDIV,,,Boston College,WBTS,Boston Fleet (PWHL) ,WBTS,"2018, 2022","1 gold, 1 silver",Megan Keller (@megan_keller4) / X,https://www.instagram.com/megankeller4/,Megan Keller (@megankeller.5) | TikTok,X
,,X,Taylor Heise,Female,Hockey,"Lake City, MN",KARE,"Lake City, MN",KARE,,,University of Minnesota ,KARE,Minnesota Frost (PWHL) ,KARE ,,,Taylorheise9 (@taylorheise9) / X,https://www.instagram.com/taylorheise9/,taylorheise (@taylorheise) | TikTok,X
,,X,Sean Hollander,M,Luge (Men's Doubles),"Lake Placid, NY",WPTZ,"Lake Placid, NY",WPTZ,"Lake Placid, NY",WPTZ,,,,,2022,,,https://www.instagram.com/seanhollander/,,
,,X,Zack Di Gregorio,M,Luge (Men's Doubles),"Medway, MA",WBTS,"Medway, MA",WBTS,"Medway, MA",WBTS,,,,,2022,,,https://www.instagram.com/zdigregorio/,https://www.tiktok.com/@zackdigregorio,
,,X,Chris Mazdzer,M,Luge (Men's Singles),"Pittsfield, MA",WNYT,"Saranac Lake, NY",WPTZ,"Salt Lake City, UT",KSL,DeVry University,WNBC,,,"2010, 2014, 2018, 2022",1 silver,,https://www.instagram.com/mazdzer/?hl=en,,
,,X,Johnny Gustafson,M,Luge (Men's Singles),"Massena, NY",WPTZ,"Massena, NY",WPTZ,"Massena, NY",WPTZ,,,,,2022,,,https://www.instagram.com/jonnygustafson/,,
,,X,Tucker West,M,Luge (Men's Singles),"Danbury, CT",WVIT,"Ridgefield, CT",WVIT,"Lake Placid, NY",WPTZ,Union College,WNYT,,,"2014, 2018, 2022",,https://x.com/tuckerwest1,https://www.instagram.com/tuckerwest1/,,
,,X,Ashley Farquharson,F,Luge (Women's Singles),"Sacramento, CA",KCRA,"Park City, UT",KSL,"Park City, UT",KSL,,,,,2022,,,https://www.instagram.com/far.quhar.son/?hl=en,,
,,X,Emily Fischnaller (née Sweeney),F,Luge (Women's Singles),"Portland, ME",WCSH,"Suffield, CT",WVIT,"Lake Placid, NY",WPTZ,,,,,"2018, 2022",,,https://www.instagram.com/ecsweens/,,
,,X,Summer Britcher,F,Luge (Women's Singles),"Baltimore, MD",WBAL,"Glen Rock, PA",WGAL,"Lake Placid, NY",WPTZ,DeVry University,WNBC,,,"2014, 2018, 2022",,https://x.com/summerbritcher,https://www.instagram.com/summerbelle/,,
,,X,Sophia Kirkby,F,Luge (Women's Doubles),"Ray Brook, NY",WPTZ,"Ray Brook, NY",WPTZ,"Ray Brook, NY",WPTZ,,,,,,,,https://www.instagram.com/sophia.kirkby/?hl=en,https://www.tiktok.com/@sophia.kirkby,
,,X,Chevonne Forgan,F,Luge (Women's Doubles),"Adelaide, Australia",,"Chelmsford, MA",WBTS,"Lake Placid, NY",WPTZ,,,,,,,,https://www.instagram.com/chev.forg/?hl=en,,
,,X,Ben Loomis,M,Nordic Combined,"Eau Claire, WI",WEAU,"Eau Claire, WI",WEAU,"Park City, UT",KSL,The Winter Sports School,KSL,,,"2018, 2022",,https://x.com/Lenboomis,https://www.instagram.com/lenboomis/,,
,,X,Jared Shumate,M,Nordic Combined,"Park City, UT",KSL,"Park City, UT",KSL,"Park City, UT",KSL,,,,,2022,,,https://www.instagram.com/jared_shumate/,,
,,X,Stephen Schumann,M,Nordic Combined,"Park City, UT",KSL,"Park City, UT",KSL,"Park City, UT",KSL,,,,,2022,,https://x.com/stephen_schu?lang=en,https://www.instagram.com/stephen_schumann/?hl=en,,
,,X,Taylor Fletcher,M,Nordic Combined,"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,"Park City, UT",KSL,Westminster College,KSL,,,"2010, 2014, 2018, 2022",,https://x.com/tfletchernordic,https://www.instagram.com/tfletchernordic/,,
,,X,Ryan Pivirotto,M,Short Track,"Ann Arbor, MI",WDIV,"Ann Arbor, MI",WDIV,"Salt Lake City, UT",KSL,Salt Lake Community College,KSL,,,2022,,https://x.com/ryanpivirotto,https://www.instagram.com/thepivo/,,
,,X,Corinne Stoddard,F,Short Track,"Seattle, WA",KING,"Tacoma, WA",KING,"Seattle, WA",KING,,,,,2022,,,https://www.instagram.com/c0rie815/,https://www.tiktok.com/@fastbutunstable,
,,X,Eunice Lee,F,Short Track,South Korea,,"Bellevue, WA",KING,,,,,,,,,,https://www.instagram.com/lee_eunice_,,
,,X,Kristen Santos-Griswold,F,Short Track,"Fairfield, CT",WNBC,"Fairfield, CT",WNBC,"Salt Lake City, UT",KSL,,,,,2022,,,https://www.instagram.com/kristensantos/?hl=en,https://www.tiktok.com/@kristen_santos,
,,X,Andrew Heo,M,Short Track ,"Warrington, PA",WCAU,"Warrington, PA",WCAU,"Salt Lake City, UT",KSL,,,,,"2018, 2022",,,https://x.com/heo_andrew,https://www.tiktok.com/@andrewjheo,
,,X,Julie Letai,F,Short Track ,"Medfield, MA",WBTS,"Medfield, MA",WBTS,"Salt Lake City, UT",KSL,University of Utah,KSL,,,2022,,https://x.com/Julie_letai,https://www.instagram.com/letaijulie,https://www.tiktok.com/@imjulieandimhappy,
,,X,Andrew Blaser,M,Skeleton ,"Boise, ID",KTVB,"Meridian, ID",KTVB,,,University of Idaho,,,,2022,,,https://www.instagram.com/andrewblaser,,
,,X,Katie Uhlaender,F,Skeleton ,"Vail, CO",KUSA,"Breckenridge, CO",KUSA,"Breckenridge, CO",KUSA,Colorado Mountain College,KUSA,,,"2006, 2010, 2014, 2018, 2022",,https://x.com/Katieu11,https://www.instagram.com/Kateu11,https://www.tiktok.com/@Kateu11,
,,X,Kelly Curtis,F,Skeleton ,"Princeton, NJ",WNBC,"Spring Grove, IL",WNBC,"Aviano, Italy",,Springfield College,WWLP,,,2022,,https://x.com/KellyCurtisUSA,https://www.instagram.com/kellycurtisusa/?hl=en,,
,,X,Mystique Ro,F,Skeleton ,"Oceanside, CA",KNSD,"Nokesville, VA",WRC,"Lake Placid, NY",WPTZ,Queens University of Charlotte,WCNC,,,,,https://x.com/mystiquefloro,https://www.instagram.com/mystiquero,https://www.tiktok.com/@mystiquero,
,,,Austin Florian,M,Skeleton ,"Southington, CT",WNBC,"Southington, CT",WNBC,"Southington, CT",WNBC,Clarkson University,,,,,,,https://www.instagram.com/afloskiah,,
,,X,Decker Dean,M,Ski Jumping,"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,,,,,2022,,https://x.com/decker_dean,https://www.instagram.com/deckerdean,,
,,X,Kevin Bickner,M,Ski Jumping,"Lake Forest, IL",WMAQ,"Park City, UT",WMAQ,"Park City, UT",KSL,DeVry University,WNBC,Norge Ski Club,WMAQ,"2018, 2022",,https://x.com/KevinBickner,https://www.instagram.com/kevinbickner/,,
,,X,Anna Hoffmann,F,Ski Jumping,"Madison, WI",WMTV,"Madison, WI",WMTV,"Salt Lake City, UT",KSL,University of Utah,KSL,,,2022,,https://x.com/hoffmann__anna,https://www.instagram.com/anna__hoffmann,,
,,X,Lucas Foster,M,Snowboarding (Halfpipe),"Telluride, CO",KKCO,"Telluride, CO",KKCO,"Telluride, CO",KKCO,,,Jim Smith Club,KKCO,2022,,https://x.com/lucasfoster_,https://www.instagram.com/lucasfoster_/,,
,,X,Alessandro Barbieri,M,Snowboarding (Halfpipe),"Portland, OR",KGW,"Portland, OR",KGW,"Portland, OR",KGW,,,Tahoe Select Snowboard Team,KCRA / KRNV,,,,https://www.instagram.com/alessandro_pdx/?hl=en,,
,,X,Joey Okesson,M,Snowboarding (Halfpipe),"Southbury, CT",WVIT,"Southbury, CT",WVIT,"Southbury, CT",WVIT,Sacred Heart University,WVIT,,,,,,https://www.instagram.com/joeyokesson/,,
,,X,Taylor Gold,M,Snowboarding (Halfpipe),"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,"Breckenridge, CO",KUSA,University of Colorado,KUSA,Steamboat Springs Winter Sports Club,KUSA,"2014, 2022",,,https://www.instagram.com/taylor_gold/?hl=en,,
,,X,Chase Josey,M,Snowboarding (Halfpipe),"Hailey, ID",KTFT,"Sun Valley, NV",KRNV,"Hailey, ID",KTFT,,,Sun Valley Education Foundation,KTFT,"2018, 2022",,,https://www.instagram.com/chasejosey/,,
,,X,Maddy Schaffrick,F,Snowboarding (Halfpipe),"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,,,Steamboat Springs Winter Sports Club,KUSA,,,,https://www.instagram.com/maddyschaffrick/?hl=en,,
,,X,Bea Kim,F,Snowboarding (Halfpipe),"Palos Verdes, CA",KNBC,"Palos Verdes, CA",KNBC,"Mammoth Lakes, CA",KCRA,Columbia University,WNBC,Mammoth Mountain Snowboard Team,KCRA,,,,https://www.instagram.com/hellobeakim/,,
X,,X,Chloe Kim,F,Snowboarding (Halfpipe),"Long Beach, CA",KNBC,"Torrance, CA",KNBC,"Mammoth Lakes, CA",KCRA,Princeton University,WNBC,Mammoth Mountain Snowboard Team,KCRA,"2018, 2022",2 gold,https://x.com/ChloeKim,https://www.instagram.com/chloekimsnow/,,
,,X,Maddie Mastro,F,Snowboarding (Halfpipe),"Loma Linda, CA",KNBC,"Wrightwood, CA",KNBC,"Mammoth Lakes, CA",KCRA,,,Mammoth Mountain Snowboard Team,,"2018, 2022",,https://x.com/maddie_mastro,https://www.instagram.com/maddie_mastro/,,
