QUALIFIED,,UPDATED,NAME,GENDER,SPORT,BIRTHPLACE,STATION,HOMETOWN,STATION,CURRENT RESIDENCE,STATION,SCHOOL,STATION,CLUB/PRO TEAM,STATION,OLYMPIC TEAMS,OLYMPIC MEDALS,TWITTER/X URL,INSTAGRAM URL,TIKTOK URL,DRUPAL TAGS
,,X,Elana Meyers Taylor,Female,Bobsled,"Camp Pendleton, CA",KNSD,"Douglasville, GA ",WXIA,"New Braunfels, TX",WOAI,George Washington University,WRC,,,"2010, 2014, 2018, 2022","3 silver, 2 bronze",Elana Meyers Taylor OLY (@eamslider24) / X,https://www.instagram.com/elanameyerstaylor/?hl=en,,X
,,X,Kaillie Humphries,Female,Bobsled,"Calgary, Alberta",,"Calgary, Alberta",,"Carlsbad, CA ",KNBC,,,,,"2010, 2014, 2018, 2022","3 gold, 1 bronze",Kaillie Humphries OLY (@BobsledKaillie) / X,https://www.instagram.com/kailliehumphries/?hl=en,Kaillie Humphries (@kailsarmbruster) | TikTok,X
,,X,Kaysha Love,Female,Bobsled,"Salt Lake City, UT",KSL,"Herriman, UT",KSL ,"Salt Lake City, UT",KSL,University of Nevada Las Vegas,KSNV,,,2022,,"Kaysha Love, OLY ✨ (@kayshajlove) / X",https://www.instagram.com/kayshajlove/?hl=en,Kaysha Love (@kayshajlove) | TikTok,X
,,X,Lolo Jones,Female,Bobsled,"Des Moines, IA",WHO,"Des Moines, IA",WHO,"Baton Rouge, LA ",WVLA,Louisiana State University ,WVLA,,,"2008, 2012, 2014",,Lolo Jones (@lolojones) / X,https://www.instagram.com/lolojones/?hl=en,,X
,,X,Ben Ogden,Male,Cross-Country Skiing,"Landgrove, VT",WPTZ,"Landgrove, VT",WPTZ,"Landgrove, VT",WPTZ,University of Vermont,WPTZ,Stratton Mountain School ,WPTZ / WNYT,2022,,,https://www.instagram.com/ben.0gden/?hl=en,,X
,,X,Gus Schumacher,Male,Cross-Country Skiing,"Madison, WI",WMTV,"Anchorage, AK ",KTUU,"Anchorage, AK ",KTUU,University of Alaska Anchorage ,KTUU,Alaska Pacific University Nordic Center,KTUU,2022,,,https://www.instagram.com/gus.schumacher/?hl=en,,X
,,X,JC Schoonmaker,Male,Cross-Country Skiing,"Tahoe City, CA ",KCRA / KRNV,"Tahoe City, CA ",KCRA / KRNV,"Anchorage, AK ",KTUU,University of Alaska Anchorage ,KTUU,Alaska Pacific University Nordic Center,KTUU,2022,,,https://www.instagram.com/isaschoon/?hl=en,,X
X,,X,Jessie Diggins,Female,Cross-Country Skiing,"St. Paul, MN",KARE,"Afton, MN",KARE ,"Wakefield, MA",WBTS,Northern Michigan University ,WLUC,Stratton Mountain School Elite Team ,WPTZ / WNYT,"2014, 2018, 2022","1 gold, 1 silver, 1 bronze",Jessie Diggins (@jessdiggs) / X,https://www.instagram.com/jessiediggins/,,X
,,X,Julia Kern,Female,Cross-Country Skiing,"Berkeley, CA ",KNTV,"Waltham, MA",WBTS,"Stratton, VT",WPTZ,Dartmouth College,WPTZ,Stratton Mountain School ,WPTZ / WNYT,2022,,Julia Kern (@juliakernski) / X,https://www.instagram.com/juliakernski/?hl=en,Julia Kern (@juliakernski) | TikTok,X
,,X,Sammy Smith,Female,Cross-Country Skiing,"Boise, ID ",KTVB,"Boise, ID ",KTVB,,,Stanford University ,KNTV,Sun Valley Ski Education Foundation,KTVB,,,,https://www.instagram.com/samanthasmith__7/?hl=en,,X
